,id,terrestrial_date,sol,ls,month,min_temp,pressure
0,2,2012-08-16,10,155,6,-75.0,739.0
1,170,2012-09-03,28,165,6,-75.0,745.0
2,186,2012-09-20,44,174,6,-75.0,757.0
3,201,2012-10-05,59,183,7,-76.0,771.0
4,216,2012-10-21,74,192,7,-72.0,790.0
5,231,2012-11-05,89,201,7,-73.0,813.0
6,7,2012-11-20,104,210,8,-67.0,838.0
7,23,2012-12-06,119,219,8,-66.0,866.0
8,40,2012-12-21,134,229,8,-67.0,893.0
9,56,2013-01-06,149,239,8,-65.0,914.0
10,73,2013-01-21,164,248,9,-64.0,919.0
11,89,2013-02-06,179,258,9,-66.0,920.0
12,108,2013-02-25,198,271,10,-67.0,914.0
13,130,2013-04-05,236,295,10,-72.0,886.0
14,147,2013-04-20,251,304,11,-71.0,876.0
15,166,2013-05-12,272,316,11,-71.0,864.0
16,255,2013-05-27,287,325,11,-72.0,856.0
17,287,2013-06-12,302,334,12,-71.0,850.0
18,268,2013-06-27,317,342,12,-72.0,849.0
19,300,2013-07-13,332,350,12,-76.0,849.0
20,313,2013-07-28,347,358,12,-77.0,851.0
21,332,2013-08-21,370,9,1,-79.0,865.0
22,351,2013-09-05,385,17,1,-78.0,874.0
23,363,2013-09-21,400,24,1,-79.0,881.0
24,377,2013-10-06,415,31,2,-82.0,890.0
25,390,2013-10-21,430,38,2,-82.0,896.0
26,406,2013-11-17,456,50,2,-83.0,905.0
27,421,2013-12-09,477,60,3,-85.0,907.0
28,430,2014-01-01,500,70,3,-85.0,897.0
29,450,2014-01-17,515,77,3,-86.0,888.0
30,463,2014-02-01,530,83,3,-87.0,873.0
31,490,2014-02-17,545,90,4,-85.0,856.0
32,503,2014-03-04,560,97,4,-86.0,836.0
33,518,2014-03-19,575,104,4,-82.0,816.0
34,535,2014-04-04,590,111,4,-82.0,797.0
35,547,2014-04-19,605,118,4,-83.0,781.0
36,563,2014-05-05,620,125,5,-83.0,765.0
37,578,2014-05-20,635,133,5,-82.0,754.0
38,593,2014-06-04,650,140,5,-80.0,743.0
39,610,2014-06-20,665,148,5,-78.0,735.0
40,620,2014-07-05,680,156,6,-76.0,740.0
41,638,2014-07-21,695,164,6,-76.0,741.0
42,653,2014-08-05,710,172,6,-77.0,751.0
43,669,2014-08-21,725,181,7,-73.0,764.0
44,685,2014-09-05,740,190,7,-76.0,782.0
45,697,2014-09-20,755,199,7,-74.0,806.0
46,713,2014-10-06,770,208,7,-70.0,829.0
47,728,2014-10-21,785,218,8,-74.0,858.0
48,742,2014-11-06,800,227,8,-67.0,884.0
49,759,2014-11-21,815,237,8,-69.0,905.0
50,772,2014-12-06,830,247,9,-68.0,918.0
51,786,2014-12-22,845,257,9,-73.0,920.0
52,803,2015-01-06,860,266,9,-69.0,916.0
53,820,2015-01-30,883,281,10,-74.0,897.0
54,834,2015-02-14,898,291,10,-72.0,883.0
55,848,2015-03-02,913,300,11,-71.0,871.0
56,864,2015-03-17,928,309,11,-72.0,862.0
57,881,2015-04-04,945,319,11,-72.0,851.0
58,896,2015-04-22,963,329,11,-71.0,850.0
59,913,2015-05-07,978,338,12,-73.0,842.0
60,927,2015-05-23,993,346,12,-73.0,840.0
61,946,2015-06-08,1009,354,12,-75.0,845.0
62,945,2015-06-24,1024,2,1,-76.0,851.0
63,972,2015-07-10,1040,10,1,-77.0,858.0
64,987,2015-07-26,1055,17,1,-77.0,868.0
65,1001,2015-08-10,1070,25,1,-80.0,877.0
66,1017,2015-08-25,1085,32,2,-79.0,886.0
67,1031,2015-09-10,1100,39,2,-79.0,890.0
68,1047,2015-09-25,1115,46,2,-80.0,897.0
69,1061,2015-10-11,1130,53,2,-81.0,902.0
70,1076,2015-10-26,1145,59,2,-82.0,903.0
71,1091,2015-11-10,1160,66,3,-80.0,899.0
72,1106,2015-11-26,1175,73,3,-85.0,890.0
73,1121,2015-12-11,1190,79,3,-87.0,877.0
74,1134,2015-12-27,1205,86,3,-86.0,861.0
75,1151,2016-01-11,1220,93,4,-87.0,842.0
76,1165,2016-01-27,1235,100,4,-88.0,824.0
77,1182,2016-02-11,1250,107,4,-85.0,804.0
78,1197,2016-02-26,1265,114,4,-81.0,787.0
79,1211,2016-03-13,1280,121,5,-84.0,771.0
80,1225,2016-03-30,1297,129,5,-80.0,755.0
81,1243,2016-04-15,1312,137,5,-77.0,745.0
82,1255,2016-04-30,1327,145,5,-76.0,736.0
83,1271,2016-05-15,1342,152,6,-80.0,735.0
84,1285,2016-05-31,1357,160,6,-72.0,738.0
85,1300,2016-06-15,1372,169,6,-74.0,745.0
86,1316,2016-07-01,1387,177,6,-74.0,755.0
87,1331,2016-07-25,1411,191,7,-72.0,782.0
88,1346,2016-08-10,1426,200,7,-71.0,803.0
89,1361,2016-08-25,1441,210,8,-74.0,828.0
90,1376,2016-09-10,1456,219,8,-69.0,859.0
91,1392,2016-09-25,1471,229,8,-71.0,880.0
92,1406,2016-10-10,1486,239,8,-71.0,901.0
93,1421,2016-10-26,1501,248,9,-69.0,903.0
94,1436,2016-11-10,1516,258,9,-71.0,909.0
95,1447,2016-11-26,1531,268,9,-76.0,900.0
96,1467,2016-12-11,1546,277,10,-73.0,889.0
97,1485,2016-12-27,1561,287,10,-77.0,877.0
98,1496,2017-01-11,1576,296,10,-72.0,869.0
99,1512,2017-01-26,1591,306,11,-73.0,852.0
100,1525,2017-02-11,1606,315,11,-75.0,850.0
101,1543,2017-03-01,1624,325,11,-72.0,837.0
102,1558,2017-03-17,1639,334,12,-71.0,832.0
103,1575,2017-04-01,1654,342,12,-75.0,829.0
104,1589,2017-04-16,1669,350,12,-74.0,833.0
105,1604,2017-05-02,1684,358,12,-75.0,837.0
106,1619,2017-05-18,1700,6,1,-76.0,842.0
107,1634,2017-06-03,1715,13,1,-77.0,851.0
108,1650,2017-06-18,1730,21,1,-77.0,858.0
109,1664,2017-07-04,1745,28,1,-78.0,865.0
110,1679,2017-07-19,1760,35,2,-78.0,872.0
111,1694,2017-08-03,1775,42,2,-80.0,877.0
112,1709,2017-08-20,1791,49,2,-79.0,882.0
113,1724,2017-09-04,1806,56,2,-80.0,884.0
114,1740,2017-09-20,1821,63,3,-81.0,882.0
115,1755,2017-10-05,1836,69,3,-81.0,873.0
116,1767,2017-10-20,1851,76,3,-87.0,864.0
117,1785,2017-11-05,1866,83,3,-80.0,850.0
118,1803,2017-11-20,1881,90,4,-79.0,832.0
119,1813,2017-12-06,1896,96,4,-79.0,812.0
120,1833,2017-12-21,1911,103,4,-79.0,792.0
121,1843,2018-01-06,1926,110,4,-80.0,775.0
122,1856,2018-01-21,1941,117,4,-77.0,758.0
123,1879,2018-02-05,1956,125,5,-79.0,744.0
124,1890,2018-02-21,1971,132,5,-78.0,731.0
